color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes,imdb_score
Color,Daniel Espinosa,0.2096177558569667,0.3802281368821292,0.0034347826086956502,0.008434782608695648,Fares Fares,0.10384615384615384,0.0015857514595699618,Crime|Drama|Thriller,Tom Hardy,Child 44 ,0.024113149345322084,0.09109137782870236,Michael Nardone,0.06976744186046513,child murderer|murder|sex|soviet union|woman slaps a man,0.0386100386100386,English,Czech Republic,R,0.019999914543992553,0.9887640449438203,0.0018540145985401456,0.07894736842105263,0.09137055837563451,6.4
Color,Wes Anderson,0.218249075215783,0.21292775665399236,0.0,0.033304347826086954,Connie Nielsen,0.049999999999999996,0.02247963603322703,Comedy|Drama,Bill Murray,Rushmore ,0.08013293437111242,0.05174553943309067,Olivia Williams,0.04651162790697676,coming of age|friendship|private school|student|teacher,0.13620763620763618,English,USA,R,0.003599913113912426,0.7977528089887641,0.006810218978102189,0.07894736842105263,0.025380710659898477,7.7
Color,Sam Mendes,0.9223181257706536,0.403041825095057,0.0,0.017086956521739124,Helen McCrory,0.0033961538461538404,0.4002075474294449,Action|Adventure|Thriller,Albert Finney,Skyfall ,0.3113790747696172,0.0067134865680880534,Rory Kinnear,0.0,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,0.3202488202488202,English,UK,PG-13,0.07999991977599302,0.955056179775281,0.00410948905109489,0.07894736842105263,0.40609137055837563,7.8
Color,Marc Lawrence,0.14303329223181258,0.2433460076045627,0.0013043478260869532,0.011652173913043472,Alicia Witt,0.003846153846153843,0.12269156673036574,Comedy|Romance,Dorian Missick,Two Weeks Notice ,0.05102519965513434,0.008679132218479699,Dana Ivey,0.04651162790697676,developer|divorce|lawyer|love|new york city,0.05662805662805662,English,USA,PG-13,0.023999914892792584,0.8426966292134832,0.007124087591240874,0.04520917678812415,0.0,6.1
Color,Stuart Gillard,0.07151664611590627,0.22433460076045625,0.00034782608695652084,0.008652173913043473,John Aylward,0.0020499999999999963,0.056094042216134135,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Paige Turco,Teenage Mutant Ninja Turtles III ,0.014875761851773403,0.0041288436274558235,Matt Hill,0.0,battle|japan|magic|samurai|turtle,0.017589017589017583,English,USA,PG,0.0067999133929524495,0.7415730337078652,0.0015985401459854016,0.04520917678812415,0.005076142131979697,4.8
Color,Will Gluck,0.2909987669543773,0.27376425855513303,0.0037826086956521746,0.04013043478260869,Justin Timberlake,0.057692307692307696,0.07337564084087025,Comedy|Romance,Mila Kunis,Friends with Benefits ,0.16114056258446371,0.06899844262915805,Masi Oka,0.04651162790697676,blow job|female rear nudity|girl in panties|male objectification|no panties,0.04054054054054053,English,USA,R,0.013999914020792505,0.9438202247191012,0.021897810218978096,0.07894736842105263,0.2081218274111675,6.6
Color,Tom Shadyac,0.23304562268803947,0.2433460076045627,0.012739130434782607,0.043478260869565216,Steve Carell,0.0423076923076923,0.31898435841409917,Comedy|Drama,Morgan Freeman,Bruce Almighty ,0.17705688791568092,0.07005205503807821,Lisa Ann Walter,0.02325581395348838,answer to prayer|breast expansion|pleading with god|supernatural power|walking on water,0.12848562848562847,English,USA,PG-13,0.03239991562527265,0.853932584269663,0.0510948905109489,0.04520917678812415,0.0,6.7
Color,Joseph Zito,0.20221948212083846,0.22813688212927752,0.0007391304347826033,0.0032173913043478247,Tom Everett,0.0006076923076923056,0.04286600171831721,Horror|Thriller,Judie Aronson,Friday the 13th: The Final Chapter ,0.01750222999197501,0.0015376156092678367,Kimberly Beck,0.0,friday the thirteenth|hockey mask|jason voorhees|morgue|slasher,0.06885456885456884,English,USA,R,0.000719912862776402,0.6404494382022473,0.000613138686131387,0.04520917678812415,0.0,5.9
Color,Kathryn Bigelow,0.68557336621455,0.45627376425855504,0.0,0.01321739130434782,Harold Perrineau,0.003846153846153843,0.12586435037628943,Drama|History|Thriller,Jennifer Ehle,Zero Dark Thirty ,0.12880433647670217,0.009084114488158379,Parker Sawyers,0.0,al qaeda|cia|interrogation|lie|navy seal,0.13620763620763618,English,USA,R,0.015999914195192522,0.955056179775281,0.0072992700729927,0.04520917678812415,0.19796954314720813,7.4
Color,Chris Kentis,0.26633785450061653,0.18631178707224333,0.0003913043478260894,0.0013913043478260834,Julia Taylor Ross,0.0004615384615384577,0.016508841745213255,Drama|Horror|Mystery|Thriller,Eric Sheffer Stevens,Silent House ,0.010985581871283963,0.0007177734535768476,Adam Trese,0.0,bound and gagged|girl|haunted house|hearing noises|uninterrupted shot,0.03196053196053195,English,France,R,0.0007999128697524054,0.9438202247191012,0.0003211678832116798,0.04520917678812415,0.0,5.3
Color,Richard Benjamin,0.03205918618988898,0.16349809885931554,0.005260869565217388,0.02552173913043478,Jane Krakowski,0.0032153846153846095,0.0021650094568326644,Comedy|Music,Damon Wayans,Marci X ,0.0026037953120944535,0.008122693165018749,Paula Garcés,0.04651162790697676,female protagonist|hip hop|jewish american princess|rapper|record label,0.013084513084513083,English,USA,R,0.00799991349759246,0.853932584269663,0.0045547445255474436,0.04520917678812415,0.0012233502538071053,2.8
Color,Nimród Antal,0.4303329223181258,0.26615969581749044,0.00826086956521739,0.02260869565217391,Alice Braga,0.007692307692307689,0.06837624889023677,Action|Adventure|Sci-Fi|Thriller,Topher Grace,Predators ,0.10218524297216909,0.013970242034525557,Derek Mears,0.0,kicked in the face|martial arts|punched in the face|strong female character|woman punching a man,0.1317031317031317,English,USA,R,0.015999914195192522,0.9325842696629214,0.0072992700729927,0.07894736842105263,0.08629441624365483,6.4
 Black and White,Baz Luhrmann,0.2552404438964242,0.3422053231939163,0.043478260869565216,0.028391304347826083,Kylie Minogue,0.003846153846153843,0.0754579592656168,Drama|Musical|Romance,Jim Broadbent,Moulin Rouge! ,0.13356622703257426,0.008563893361254057,Richard Roxburgh,0.02325581395348838,death of main character|eiffel tower paris|jealousy|tragedy|two suitors,0.49635349635349624,English,USA,PG-13,0.020999914631192558,0.8314606741573034,0.005043795620437955,0.07894736842105263,0.050761421319796954,7.6
